Mortgage Rate,year,month
4.06,2018,5
4.02,2018,4
3.9,2018,3
3.85,2018,2
3.62,2018,1
3.44,2017,12
3.3,2017,11
3.25,2017,10
3.13,2017,9
3.12,2017,8
3.2,2017,7
3.17,2017,6
3.19,2017,5
3.27,2017,4
3.39,2017,3
3.37,2017,2
3.4,2017,1
3.55,2016,12
3.25,2016,11
2.78,2016,10
2.72,2016,9
2.74,2016,8
2.78,2016,7
2.78,2016,6
2.89,2016,5
2.89,2016,4
2.98,2016,3
2.93,2016,2
3.07,2016,1
3.24,2015,12
3.18,2015,11
2.98,2015,10
3.08,2015,9
3.06,2015,8
3.17,2015,7
3.21,2015,6
3.11,2015,5
2.94,2015,4
2.97,2015,3
3.07,2015,2
2.98,2015,1
3.15,2014,12
3.17,2014,11
3.13,2014,10
3.36,2014,9
3.25,2014,8
3.23,2014,7
3.22,2014,6
3.21,2014,5
3.39,2014,4
3.42,2014,3
3.39,2014,2
3.4,2014,1
3.52,2013,12
3.3,2013,11
3.2,2013,10
3.37,2013,9
3.54,2013,8
3.39,2013,7
3.5,2013,6
2.98,2013,5
2.61,2013,4
2.76,2013,3
2.76,2013,2
2.81,2013,1
2.65,2012,12
2.64,2012,11
2.72,2012,10
2.73,2012,9
2.86,2012,8
2.8,2012,7
2.94,2012,6
2.97,2012,5
3.12,2012,4
3.23,2012,3
3.19,2012,2
3.24,2012,1
3.24,2011,12
3.3,2011,11
3.38,2011,10
3.28,2011,9
3.44,2011,8
3.66,2011,7
3.69,2011,6
3.78,2011,5
3.97,2011,4
4.09,2011,3
4.22,2011,2
4.09,2011,1
4.2,2010,12
3.77,2010,11
3.66,2010,10
3.75,2010,9
3.86,2010,8
4.0,2010,7
4.13,2010,6
4.21,2010,5
4.39,2010,4
4.34,2010,3
4.4,2010,2
4.39,2010,1
4.54,2009,12
4.29,2009,11
4.46,2009,10
4.46,2009,9
4.58,2009,8
4.69,2009,7
4.87,2009,6
4.53,2009,5
4.48,2009,4
4.58,2009,3
4.68,2009,2
4.8,2009,1
4.83,2008,12
5.74,2008,11
6.19,2008,10
5.77,2008,9
5.93,2008,8
6.07,2008,7
6.04,2008,6
5.66,2008,5
5.62,2008,4
5.34,2008,3
5.72,2008,2
5.17,2008,1
5.79,2007,12
5.73,2007,11
5.99,2007,10
6.09,2007,9
6.12,2007,8
6.37,2007,7
6.34,2007,6
6.12,2007,5
5.87,2007,4
5.86,2007,3
5.97,2007,2
5.98,2007,1
5.93,2006,12
5.87,2006,11
6.1,2006,10
5.98,2006,9
6.14,2006,8
6.34,2006,7
6.43,2006,6
6.23,2006,5
6.21,2006,4
6.0,2006,3
5.89,2006,2
5.7,2006,1
5.76,2005,12
5.81,2005,11
5.69,2005,10
5.48,2005,9
5.35,2005,8
5.34,2005,7
5.12,2005,6
5.21,2005,5
5.33,2005,4
5.58,2005,3
5.22,2005,2
5.14,2005,1
5.23,2004,12
5.15,2004,11
5.01,2004,10
5.12,2004,9
5.21,2004,8
5.49,2004,7
5.64,2004,6
5.69,2004,5
5.35,2004,4
4.7,2004,3
4.89,2004,2
4.97,2004,1
5.15,2003,12
5.22,2003,11
5.26,2003,10
5.3,2003,9
5.66,2003,8
5.27,2003,7
4.63,2003,6
4.73,2003,5
5.12,2003,4
5.21,2003,3
5.14,2003,2
5.28,2003,1
5.32,2002,12
5.57,2002,11
5.7,2002,10
5.41,2002,9
5.64,2002,8
5.76,2002,7
5.99,2002,6
6.22,2002,5
6.35,2002,4
6.69,2002,3
6.28,2002,2
6.44,2002,1
6.65,2001,12
6.53,2001,11
6.13,2001,10
6.23,2001,9
6.47,2001,8
6.58,2001,7
6.63,2001,6
6.76,2001,5
6.63,2001,4
6.46,2001,3
6.69,2001,2
6.7,2001,1
6.79,2000,12
7.41,2000,11
7.36,2000,10
7.53,2000,9
7.72,2000,8
7.85,2000,7
7.92,2000,6
8.31,2000,5
7.79,2000,4
7.84,2000,3
7.92,2000,2
7.84,2000,1
7.66,1999,12
7.36,1999,11
7.57,1999,10
7.4,1999,9
7.43,1999,8
7.29,1999,7
7.28,1999,6
6.84,1999,5
6.55,1999,4
6.61,1999,3
6.51,1999,2
6.37,1999,1
6.48,1998,12
6.44,1998,11
6.48,1998,10
6.32,1998,9
6.61,1998,8
6.64,1998,7
6.64,1998,6
6.72,1998,5
6.78,1998,4
6.69,1998,3
6.69,1998,2
6.7,1998,1
6.57,1997,12
6.73,1997,11
6.76,1997,10
6.86,1997,9
7.12,1997,8
6.98,1997,7
7.13,1997,6
7.47,1997,5
7.62,1997,4
7.48,1997,3
7.15,1997,2
7.38,1997,1
7.16,1996,12
7.04,1996,11
7.37,1996,10
7.68,1996,9
7.6,1996,8
7.71,1996,7
7.82,1996,6
7.54,1996,5
