OriginalZip,CalendarYearIssued,Issuedmonth,Total_NewConstructions,Total_RemodelsRepairs,TotalCost_NewConstructions,TotalCost_RemodelRepairs
78613,2017,6,0,2,0,10000
78617,1996,2,26,0,1593190,0
78617,1996,3,6,0,369000,0
78617,1996,4,4,1,240000,500
78617,1996,5,9,2,613800,1000
78617,1996,6,5,0,356000,0
78617,1996,7,13,0,934000,0
78617,1996,8,7,0,492000,0
78617,1996,9,1,0,70000,0
78617,1996,10,3,0,210000,0
78617,1996,11,3,1,210000,100
78617,1996,12,1,0,70000,0
78617,1997,1,2,0,140000,0
78617,1997,2,1,0,70000,0
78617,1997,4,7,1,490000,650
78617,1997,5,10,0,581100,0
78617,1997,6,10,4,602471,0
78617,1997,7,0,1,0,0
78617,1997,8,8,0,436933,0
78617,1997,9,7,0,294282,0
78617,1997,10,2,0,139323,0
78617,1997,11,6,0,353016,0
78617,1997,12,4,0,348488,0
78617,1998,1,0,2,0,1500
78617,1998,2,1,3,76232,35100
78617,1998,3,6,12,338386,10100
78617,1998,4,10,2,415399,500
78617,1998,5,7,3,372468,0
78617,1998,6,5,4,361961,0
78617,1998,7,8,2,449467,500
78617,1998,8,0,1,0,0
78617,1998,9,2,0,104000,0
78617,1998,11,2,1,170883,500
78617,1998,12,5,0,283000,0
78617,1999,1,7,0,430001,0
78617,1999,2,5,0,373000,0
78617,1999,3,15,0,737705,0
78617,1999,4,14,0,961600,0
78617,1999,5,6,0,366963,0
78617,1999,6,2,0,114534,0
78617,1999,8,1,0,61000,0
78617,1999,9,3,0,57594,0
78617,1999,11,0,2,0,1000
78617,2000,3,0,1,0,1200
78617,2000,4,6,1,420000,500
78617,2000,5,0,1,0,500
78617,2000,6,1,0,39000,0
78617,2000,7,0,1,0,500
78617,2000,8,6,0,420000,0
78617,2000,9,10,0,700000,0
78617,2000,10,4,1,280000,500
78617,2000,11,14,0,910000,0
78617,2000,12,8,0,560000,0
78617,2001,1,17,0,1190000,0
78617,2001,2,4,0,280000,0
78617,2001,3,4,0,280000,0
78617,2001,4,11,1,724500,500
78617,2001,5,15,2,1050000,1000
78617,2001,6,2,1,140000,500
78617,2001,8,7,0,490000,0
78617,2001,9,0,9,0,0
78617,2001,10,0,8,0,0
78617,2001,11,0,1,0,0
78617,2001,12,0,1,0,0
78617,2002,1,0,22,0,0
78617,2002,2,1,17,70000,0
78617,2002,3,0,16,0,0
78617,2002,4,1,27,70000,0
78617,2002,5,1,9,28500,0
78617,2002,6,0,22,0,3000
78617,2002,7,0,25,0,500
78617,2002,8,0,26,0,0
78617,2002,9,0,20,0,3517
78617,2002,10,1,3,45900,0
78617,2002,11,0,14,0,0
78617,2002,12,0,11,0,0
78617,2003,1,20,6,1392000,0
78617,2003,2,2,7,140000,0
78617,2003,3,8,10,560000,0
78617,2003,4,3,8,210000,28526
78617,2003,5,7,13,490000,0
78617,2003,6,6,4,420000,0
78617,2003,7,11,0,770000,0
78617,2003,8,4,1,280000,0
78617,2003,9,0,1,0,0
78617,2004,1,0,2,0,21000
78617,2004,3,21,0,1588566,0
78617,2004,4,15,1,1019910,0
78617,2004,5,4,0,280000,0
78617,2004,6,18,0,1537000,0
78617,2004,7,8,3,629000,0
78617,2004,8,15,5,1015221,1500
78617,2004,9,11,2,725002,11124
78617,2004,10,20,0,1461371,0
78617,2004,11,9,0,591178,0
78617,2004,12,5,0,440000,0
78617,2005,1,25,2,2027672,15100
78617,2005,2,22,0,1674745,0
78617,2005,3,22,3,1450422,750
78617,2005,4,20,1,1517608,0
78617,2005,5,20,2,1448122,0
78617,2005,6,29,4,2039952,0
78617,2005,7,19,2,1144430,500
78617,2005,8,26,0,1780738,0
78617,2005,9,24,1,1738242,0
78617,2005,10,20,0,1349818,0
78617,2005,11,16,0,1143425,0
78617,2005,12,22,0,1525639,0
78617,2006,1,16,0,1029266,0
78617,2006,2,9,3,629060,1000
78617,2006,3,21,2,1488732,60
78617,2006,4,26,0,1869974,0
78617,2006,5,13,2,914551,8000
78617,2006,6,32,3,2398639,0
78617,2006,7,20,0,1278036,0
78617,2006,8,33,11,2495947,0
78617,2006,9,33,6,2495009,0
78617,2006,10,18,3,1375799,0
78617,2006,11,26,1,2115475,0
78617,2006,12,12,0,952262,0
78617,2007,1,8,2,540122,900
78617,2007,2,10,0,509269,0
78617,2007,3,13,0,931797,0
78617,2007,4,13,0,1042313,0
78617,2007,5,21,0,1513576,0
78617,2007,6,24,0,1548763,0
78617,2007,7,12,0,818676,0
78617,2007,8,13,0,805953,0
78617,2007,9,24,1,1636377,15300
78617,2007,10,17,0,1280061,0
78617,2007,11,2,0,180530,0
78617,2007,12,6,1,574220,9500
78617,2008,1,11,0,777588,0
78617,2008,2,7,0,677690,0
78617,2008,3,5,0,472586,0
78617,2008,4,22,0,1688455,0
78617,2008,5,13,1,1083022,2200
78617,2008,6,12,0,973180,0
78617,2008,7,9,0,770580,0
78617,2008,8,10,0,790510,0
78617,2008,9,13,0,955344,0
78617,2008,10,5,0,382970,0
78617,2008,11,9,1,761040,1000
78617,2008,12,4,0,273345,0
78617,2009,1,13,0,911488,0
78617,2009,2,9,0,669660,0
78617,2009,3,14,1,1077349,0
78617,2009,4,24,0,1636836,0
78617,2009,5,6,1,461699,1800
78617,2009,6,13,0,853140,0
78617,2009,7,25,1,1749570,3900
78617,2009,8,16,0,1199932,0
78617,2009,9,20,2,1487569,1000
78617,2009,10,19,2,1377211,6405
78617,2009,11,5,0,373480,0
78617,2009,12,7,0,538921,0
78617,2010,1,9,0,636260,0
78617,2010,2,8,0,454173,0
78617,2010,3,16,0,1140095,0
78617,2010,4,5,0,301666,0
78617,2010,5,6,0,350365,0
78617,2010,6,10,0,690490,0
78617,2010,7,5,1,354562,1500
78617,2010,8,10,0,765914,0
78617,2010,9,7,1,524800,6000
78617,2010,10,5,1,343938,1000
78617,2010,12,1,0,78000,0
78617,2011,1,4,1,274498,1500
78617,2011,2,7,0,514463,0
78617,2011,3,8,0,603012,0
78617,2011,4,4,0,298409,0
78617,2011,5,5,0,331266,0
78617,2011,6,13,1,1085555,0
