Zip Code,Lat,Lng,Bank Count,Liquor Store Count,Wal-Mart Count,Starbucks Count,Target Count
78701,30.2729209,-97.74438630000002,109,61,1,29,7
78702,30.2603535,-97.7145152,79,54,15,24,2
78703,30.2915328,-97.76883579999999,110,46,1,22,2
78704,30.24567279999999,-97.76883579999999,95,52,17,27,5
78705,30.2961708,-97.73895429999999,108,54,14,23,4
78717,30.4916577,-97.7742702,27,12,20,11,7
78721,30.2737366,-97.68194299999999,13,18,0,5,2
78722,30.2920434,-97.7118003,98,50,1,22,4
78723,30.3081307,-97.68194299999999,22,24,13,3,3
78724,30.2944269,-97.6222665,0,2,0,0,1
78725,30.2316673,-97.6168439,0,3,1,0,0
78726,30.4190616,-97.8395151,13,3,1,5,1
78727,30.432242,-97.7145152,51,17,14,9,3
78728,30.4570672,-97.68194299999999,32,14,27,6,2
78729,30.4646593,-97.7471025,30,10,11,4,4
78730,30.3732514,-97.8395151,17,2,1,3,1
78731,30.3542409,-97.7742702,41,17,10,8,3
78732,30.3788578,-97.8923749,10,5,1,3,1
78733,30.33151879999999,-97.86671820000001,3,0,1,1,0
78734,30.3666665,-97.9483898,23,5,1,2,0
78735,30.2573497,-97.86127669999999,26,6,10,6,2
78736,30.25208559999999,-97.9483898,2,1,0,0,0
78737,30.18196499999999,-97.9701846,2,4,0,0,0
78738,30.2966026,-97.9701846,20,4,1,3,2
78739,30.1859258,-97.90482,3,3,1,1,1
78741,30.2259488,-97.7145152,25,24,15,14,0
78744,30.196311,-97.730807,13,12,14,3,0
78745,30.2153869,-97.7960118,34,22,26,13,5
78746,30.2962208,-97.8299383,27,8,1,4,0
78747,30.1274614,-97.730807,0,0,0,0,0
78748,30.168207,-97.8177601,17,14,11,4,6
78749,30.2175453,-97.8558357,27,13,12,8,2
78750,30.4270699,-97.8014482,25,8,10,7,1
78751,30.3055711,-97.725376,104,56,14,22,5
78752,30.3317278,-97.70515800000001,57,36,23,9,5
78753,30.3889868,-97.6710889,38,10,14,4,3
78754,30.3558863,-97.64938579999999,13,9,13,1,0
78756,30.3248256,-97.73895429999999,78,39,23,14,7
78757,30.3568213,-97.730807,71,34,23,8,8
78758,30.3870686,-97.70365609999999,78,27,24,11,6
78759,30.401356,-97.7525352,54,22,1,11,4
