Zip Code,parentRating,gsRating
78617,4.0,2.0
78701,2.8,1.4
78702,4.0,3.08
78703,3.44,5.22
78704,2.9,2.85
78705,3.12,1.0
78709,0.0,0.0
78712,0.0,0.0
78713,4.0,0.0
78715,4.0,0.0
78717,3.2,4.9
78721,3.0,3.56
78722,3.5,2.0
78723,2.29,2.21
78724,2.28,3.94
78725,2.0,3.0
78726,4.67,5.33
78727,4.0,4.17
78728,2.86,3.0
78729,3.43,5.0
78730,4.0,8.0
78731,3.22,2.78
78732,3.4,7.8
78733,2.67,6.67
78734,4.17,3.0
78735,4.0,1.5
78736,4.5,0.0
78737,3.0,0.0
78738,3.5,8.88
78739,4.0,8.5
78741,3.17,4.33
78744,2.5,3.45
78745,2.94,2.12
78746,3.18,4.27
78747,4.0,3.0
78748,3.55,3.45
78749,4.0,6.38
78750,2.82,5.09
78751,3.43,0.71
78752,3.09,2.55
78753,2.75,3.5
78754,3.0,3.33
78756,4.75,1.12
78757,3.33,4.0
78758,2.6,3.9
78759,3.0,5.5
