Median Income (dollars),Month,Number of Households,Year,Zip Code
42009.0,1,605,2011,73949
42009.0,2,605,2011,73949
42009.0,3,605,2011,73949
42009.0,4,605,2011,73949
42009.0,5,605,2011,73949
42009.0,6,605,2011,73949
42009.0,7,605,2011,73949
42009.0,8,605,2011,73949
42009.0,9,605,2011,73949
42009.0,10,605,2011,73949
42009.0,11,605,2011,73949
42009.0,12,605,2011,73949
42339.25,1,602,2012,73949
42669.5,2,599,2012,73949
42999.75,3,597,2012,73949
43330.0,4,594,2012,73949
43660.25,5,591,2012,73949
43990.5,6,589,2012,73949
44320.75,7,586,2012,73949
44651.0,8,583,2012,73949
44981.25,9,581,2012,73949
45311.5,10,578,2012,73949
45641.75,11,575,2012,73949
45972.0,12,573,2012,73949
46132.5,1,573,2013,73949
46293.0,2,573,2013,73949
46453.5,3,573,2013,73949
46614.0,4,573,2013,73949
46774.5,5,573,2013,73949
46935.0,6,574,2013,73949
47095.5,7,574,2013,73949
47256.0,8,574,2013,73949
47416.5,9,574,2013,73949
47577.0,10,574,2013,73949
47737.5,11,574,2013,73949
47898.0,12,575,2013,73949
47785.5,1,573,2014,73949
47673.0,2,572,2014,73949
47560.5,3,571,2014,73949
47448.0,4,570,2014,73949
47335.5,5,569,2014,73949
47223.0,6,568,2014,73949
47110.5,7,567,2014,73949
46998.0,8,566,2014,73949
46885.5,9,565,2014,73949
46773.0,10,564,2014,73949
46660.5,11,563,2014,73949
46548.0,12,562,2014,73949
46867.75,1,560,2015,73949
47187.5,2,559,2015,73949
47507.25,3,558,2015,73949
47827.0,4,557,2015,73949
48146.75,5,556,2015,73949
48466.5,6,555,2015,73949
48786.25,7,553,2015,73949
49106.0,8,552,2015,73949
49425.75,9,551,2015,73949
49745.5,10,550,2015,73949
50065.25,11,549,2015,73949
50385.0,12,548,2015,73949
50130.416666666664,1,546,2016,73949
49875.833333333336,2,545,2016,73949
49621.25,3,544,2016,73949
49366.666666666664,4,543,2016,73949
49112.083333333336,5,541,2016,73949
48857.5,6,540,2016,73949
48602.916666666664,7,539,2016,73949
48348.333333333336,8,538,2016,73949
48093.75,9,536,2016,73949
47839.166666666664,10,535,2016,73949
47584.583333333336,11,534,2016,73949
47330.0,12,533,2016,73949
55874.0,1,6607,2011,75001
55874.0,2,6607,2011,75001
55874.0,3,6607,2011,75001
55874.0,4,6607,2011,75001
55874.0,5,6607,2011,75001
55874.0,6,6607,2011,75001
55874.0,7,6607,2011,75001
55874.0,8,6607,2011,75001
55874.0,9,6607,2011,75001
55874.0,10,6607,2011,75001
55874.0,11,6607,2011,75001
55874.0,12,6607,2011,75001
55872.416666666664,1,6639,2012,75001
55870.833333333336,2,6672,2012,75001
55869.25,3,6705,2012,75001
55867.666666666664,4,6738,2012,75001
55866.083333333336,5,6771,2012,75001
55864.5,6,6804,2012,75001
55862.916666666664,7,6836,2012,75001
55861.333333333336,8,6869,2012,75001
55859.75,9,6902,2012,75001
55858.166666666664,10,6935,2012,75001
55856.583333333336,11,6968,2012,75001
55855.0,12,7001,2012,75001
56003.166666666664,1,7032,2013,75001
56151.333333333336,2,7064,2013,75001
56299.5,3,7095,2013,75001
56447.666666666664,4,7127,2013,75001
56595.833333333336,5,7158,2013,75001
56744.0,6,7190,2013,75001
56892.166666666664,7,7221,2013,75001
57040.333333333336,8,7253,2013,75001
57188.5,9,7284,2013,75001
57336.666666666664,10,7316,2013,75001
57484.833333333336,11,7347,2013,75001
57633.0,12,7379,2013,75001
57809.0,1,7422,2014,75001
57985.0,2,7466,2014,75001
58161.0,3,7510,2014,75001
58337.0,4,7554,2014,75001
58513.0,5,7598,2014,75001
58689.0,6,7642,2014,75001
58865.0,7,7686,2014,75001
59041.0,8,7730,2014,75001
59217.0,9,7774,2014,75001
59393.0,10,7818,2014,75001
59569.0,11,7862,2014,75001
59745.0,12,7906,2014,75001
60378.333333333336,1,7916,2015,75001
61011.666666666664,2,7926,2015,75001
61645.0,3,7936,2015,75001
62278.333333333336,4,7946,2015,75001
62911.666666666664,5,7956,2015,75001
63545.0,6,7966,2015,75001
64178.333333333336,7,7976,2015,75001
64811.666666666664,8,7986,2015,75001
65445.0,9,7996,2015,75001
66078.33333333333,10,8006,2015,75001
66711.66666666667,11,8016,2015,75001
67345.0,12,8027,2015,75001
67567.91666666667,1,8056,2016,75001
67790.83333333333,2,8086,2016,75001
68013.75,3,8116,2016,75001
68236.66666666667,4,8146,2016,75001
68459.58333333333,5,8175,2016,75001
68682.5,6,8205,2016,75001
68905.41666666667,7,8235,2016,75001
69128.33333333333,8,8265,2016,75001
69351.25,9,8294,2016,75001
69574.16666666667,10,8324,2016,75001
69797.08333333333,11,8354,2016,75001
70020.0,12,8384,2016,75001
91638.0,1,20393,2011,75002
91638.0,2,20393,2011,75002
91638.0,3,20393,2011,75002
91638.0,4,20393,2011,75002
91638.0,5,20393,2011,75002
91638.0,6,20393,2011,75002
91638.0,7,20393,2011,75002
91638.0,8,20393,2011,75002
91638.0,9,20393,2011,75002
91638.0,10,20393,2011,75002
91638.0,11,20393,2011,75002
91638.0,12,20393,2011,75002
91664.0,1,20450,2012,75002
91690.0,2,20507,2012,75002
91716.0,3,20565,2012,75002
91742.0,4,20622,2012,75002
91768.0,5,20680,2012,75002
91794.0,6,20737,2012,75002
91820.0,7,20794,2012,75002
91846.0,8,20852,2012,75002
91872.0,9,20909,2012,75002
91898.0,10,20967,2012,75002
91924.0,11,21024,2012,75002
91950.0,12,21082,2012,75002
91923.5,1,21103,2013,75002
91897.0,2,21125,2013,75002
91870.5,3,21146,2013,75002
91844.0,4,21168,2013,75002
91817.5,5,21189,2013,75002
91791.0,6,21211,2013,75002
91764.5,7,21232,2013,75002
91738.0,8,21254,2013,75002
91711.5,9,21275,2013,75002
91685.0,10,21297,2013,75002
91658.5,11,21318,2013,75002
91632.0,12,21340,2013,75002
91827.41666666667,1,21359,2014,75002
92022.83333333333,2,21378,2014,75002
92218.25,3,21397,2014,75002
92413.66666666667,4,21416,2014,75002
92609.08333333333,5,21435,2014,75002
92804.5,6,21454,2014,75002
92999.91666666667,7,21473,2014,75002
93195.33333333333,8,21492,2014,75002
93390.75,9,21511,2014,75002
93586.16666666667,10,21530,2014,75002
93781.58333333333,11,21549,2014,75002
93977.0,12,21569,2014,75002
94171.75,1,21609,2015,75002
94366.5,2,21649,2015,75002
94561.25,3,21690,2015,75002
94756.0,4,21730,2015,75002
94950.75,5,21770,2015,75002
95145.5,6,21811,2015,75002
95340.25,7,21851,2015,75002
95535.0,8,21891,2015,75002
95729.75,9,21932,2015,75002
95924.5,10,21972,2015,75002
96119.25,11,22012,2015,75002
96314.0,12,22053,2015,75002
96292.83333333333,1,22048,2016,75002
96271.66666666667,2,22044,2016,75002
96250.5,3,22039,2016,75002
96229.33333333333,4,22035,2016,75002
96208.16666666667,5,22030,2016,75002
96187.0,6,22026,2016,75002
96165.83333333333,7,22022,2016,75002
96144.66666666667,8,22017,2016,75002
96123.5,9,22013,2016,75002
96102.33333333333,10,22008,2016,75002
96081.16666666667,11,22004,2016,75002
96060.0,12,22000,2016,75002
57274.0,1,16534,2011,75006
57274.0,2,16534,2011,75006
57274.0,3,16534,2011,75006
57274.0,4,16534,2011,75006
57274.0,5,16534,2011,75006
57274.0,6,16534,2011,75006
57274.0,7,16534,2011,75006
57274.0,8,16534,2011,75006
57274.0,9,16534,2011,75006
57274.0,10,16534,2011,75006
57274.0,11,16534,2011,75006
57274.0,12,16534,2011,75006
57251.333333333336,1,16548,2012,75006
57228.666666666664,2,16563,2012,75006
57206.0,3,16578,2012,75006
57183.333333333336,4,16592,2012,75006
57160.666666666664,5,16607,2012,75006
57138.0,6,16622,2012,75006
57115.333333333336,7,16636,2012,75006
57092.666666666664,8,16651,2012,75006
57070.0,9,16666,2012,75006
57047.333333333336,10,16680,2012,75006
57024.666666666664,11,16695,2012,75006
57002.0,12,16710,2012,75006
57000.583333333336,1,16740,2013,75006
56999.166666666664,2,16770,2013,75006
56997.75,3,16801,2013,75006
56996.333333333336,4,16831,2013,75006
56994.916666666664,5,16862,2013,75006
56993.5,6,16892,2013,75006
56992.083333333336,7,16922,2013,75006
56990.666666666664,8,16953,2013,75006
56989.25,9,16983,2013,75006
56987.833333333336,10,17014,2013,75006
56986.416666666664,11,17044,2013,75006
56985.0,12,17075,2013,75006
57008.666666666664,1,17077,2014,75006
57032.333333333336,2,17079,2014,75006
57056.0,3,17081,2014,75006
57079.666666666664,4,17083,2014,75006
57103.333333333336,5,17085,2014,75006
57127.0,6,17088,2014,75006
57150.666666666664,7,17090,2014,75006
57174.333333333336,8,17092,2014,75006
57198.0,9,17094,2014,75006
57221.666666666664,10,17096,2014,75006
57245.333333333336,11,17098,2014,75006
57269.0,12,17101,2014,75006
57299.833333333336,1,17129,2015,75006
57330.666666666664,2,17158,2015,75006
57361.5,3,17187,2015,75006
57392.333333333336,4,17215,2015,75006
57423.166666666664,5,17244,2015,75006
57454.0,6,17273,2015,75006
57484.833333333336,7,17301,2015,75006
57515.666666666664,8,17330,2015,75006
57546.5,9,17359,2015,75006
57577.333333333336,10,17387,2015,75006
57608.166666666664,11,17416,2015,75006
57639.0,12,17445,2015,75006
57550.5,1,17478,2016,75006
57462.0,2,17512,2016,75006
57373.5,3,17546,2016,75006
57285.0,4,17580,2016,75006
57196.5,5,17614,2016,75006
57108.0,6,17648,2016,75006
57019.5,7,17682,2016,75006
56931.0,8,17716,2016,75006
56842.5,9,17750,2016,75006
56754.0,10,17784,2016,75006
56665.5,11,17818,2016,75006
56577.0,12,17852,2016,75006
78660.0,1,18284,2011,75007
78660.0,2,18284,2011,75007
78660.0,3,18284,2011,75007
78660.0,4,18284,2011,75007
78660.0,5,18284,2011,75007
78660.0,6,18284,2011,75007
78660.0,7,18284,2011,75007
78660.0,8,18284,2011,75007
78660.0,9,18284,2011,75007
78660.0,10,18284,2011,75007
78660.0,11,18284,2011,75007
78660.0,12,18284,2011,75007
78771.66666666667,1,18295,2012,75007
78883.33333333333,2,18307,2012,75007
78995.0,3,18318,2012,75007
79106.66666666667,4,18330,2012,75007
79218.33333333333,5,18341,2012,75007
79330.0,6,18353,2012,75007
79441.66666666667,7,18364,2012,75007
79553.33333333333,8,18376,2012,75007
79665.0,9,18387,2012,75007
79776.66666666667,10,18399,2012,75007
79888.33333333333,11,18410,2012,75007
80000.0,12,18422,2012,75007
79911.16666666667,1,18407,2013,75007
79822.33333333333,2,18393,2013,75007
79733.5,3,18378,2013,75007
79644.66666666667,4,18364,2013,75007
79555.83333333333,5,18349,2013,75007
79467.0,6,18335,2013,75007
79378.16666666667,7,18321,2013,75007
79289.33333333333,8,18306,2013,75007
79200.5,9,18292,2013,75007
79111.66666666667,10,18277,2013,75007
79022.83333333333,11,18263,2013,75007
78934.0,12,18249,2013,75007
79005.0,1,18266,2014,75007
79076.0,2,18284,2014,75007
79147.0,3,18301,2014,75007
79218.0,4,18319,2014,75007
79289.0,5,18336,2014,75007
79360.0,6,18354,2014,75007
79431.0,7,18371,2014,75007
79502.0,8,18389,2014,75007
79573.0,9,18406,2014,75007
79644.0,10,18424,2014,75007
79715.0,11,18441,2014,75007
79786.0,12,18459,2014,75007
79533.25,1,18484,2015,75007
79280.5,2,18509,2015,75007
79027.75,3,18534,2015,75007
78775.0,4,18559,2015,75007
78522.25,5,18584,2015,75007
78269.5,6,18609,2015,75007
78016.75,7,18634,2015,75007
77764.0,8,18659,2015,75007
77511.25,9,18684,2015,75007
77258.5,10,18709,2015,75007
77005.75,11,18734,2015,75007
76753.0,12,18759,2015,75007
76897.58333333333,1,18801,2016,75007
77042.16666666667,2,18844,2016,75007
77186.75,3,18887,2016,75007
77331.33333333333,4,18930,2016,75007
77475.91666666667,5,18973,2016,75007
77620.5,6,19016,2016,75007
77765.08333333333,7,19058,2016,75007
77909.66666666667,8,19101,2016,75007
78054.25,9,19144,2016,75007
78198.83333333333,10,19187,2016,75007
78343.41666666667,11,19230,2016,75007
78488.0,12,19273,2016,75007
76840.0,1,2744,2011,75009
76840.0,2,2744,2011,75009
76840.0,3,2744,2011,75009
76840.0,4,2744,2011,75009
76840.0,5,2744,2011,75009
76840.0,6,2744,2011,75009
76840.0,7,2744,2011,75009
76840.0,8,2744,2011,75009
76840.0,9,2744,2011,75009
76840.0,10,2744,2011,75009
76840.0,11,2744,2011,75009
76840.0,12,2744,2011,75009
77826.83333333333,1,2744,2012,75009
78813.66666666667,2,2745,2012,75009
79800.5,3,2746,2012,75009
80787.33333333333,4,2746,2012,75009
81774.16666666667,5,2747,2012,75009
82761.0,6,2748,2012,75009
83747.83333333333,7,2748,2012,75009
84734.66666666667,8,2749,2012,75009
85721.5,9,2750,2012,75009
86708.33333333333,10,2750,2012,75009
87695.16666666667,11,2751,2012,75009
88682.0,12,2752,2012,75009
88590.25,1,2766,2013,75009
88498.5,2,2780,2013,75009
88406.75,3,2795,2013,75009
88315.0,4,2809,2013,75009
88223.25,5,2823,2013,75009
88131.5,6,2838,2013,75009
88039.75,7,2852,2013,75009
87948.0,8,2866,2013,75009
87856.25,9,2881,2013,75009
87764.5,10,2895,2013,75009
87672.75,11,2909,2013,75009
87581.0,12,2924,2013,75009
87337.66666666667,1,2928,2014,75009
87094.33333333333,2,2933,2014,75009
86851.0,3,2938,2014,75009
86607.66666666667,4,2943,2014,75009
86364.33333333333,5,2947,2014,75009
86121.0,6,2952,2014,75009
85877.66666666667,7,2957,2014,75009
85634.33333333333,8,2962,2014,75009
85391.0,9,2966,2014,75009
85147.66666666667,10,2971,2014,75009
84904.33333333333,11,2976,2014,75009
84661.0,12,2981,2014,75009
84963.25,1,2983,2015,75009
85265.5,2,2985,2015,75009
85567.75,3,2988,2015,75009
85870.0,4,2990,2015,75009
86172.25,5,2992,2015,75009
86474.5,6,2995,2015,75009
86776.75,7,2997,2015,75009
87079.0,8,2999,2015,75009
87381.25,9,3002,2015,75009
87683.5,10,3004,2015,75009
87985.75,11,3006,2015,75009
88288.0,12,3009,2015,75009
88652.41666666667,1,3046,2016,75009
89016.83333333333,2,3084,2016,75009
89381.25,3,3122,2016,75009
89745.66666666667,4,3160,2016,75009
90110.08333333333,5,3197,2016,75009
90474.5,6,3235,2016,75009
90838.91666666667,7,3273,2016,75009
