Inventory Measure,Zip Code,Year,Month
161.0,78702,2010,1
158.0,78702,2010,2
173.0,78702,2010,3
178.0,78702,2010,4
184.0,78702,2010,5
177.0,78702,2010,6
166.0,78702,2010,7
145.0,78702,2010,8
140.0,78702,2010,9
142.0,78702,2010,10
136.0,78702,2010,11
130.0,78702,2010,12
132.0,78702,2011,1
130.0,78702,2011,2
131.0,78702,2011,3
132.0,78702,2011,4
135.0,78702,2011,5
124.0,78702,2011,6
124.0,78702,2011,7
118.0,78702,2011,8
111.0,78702,2011,9
101.0,78702,2011,10
95.0,78702,2011,11
84.0,78702,2011,12
68.0,78702,2012,1
62.0,78702,2012,2
68.0,78702,2012,3
57.0,78702,2012,4
56.0,78702,2012,5
53.0,78702,2012,6
48.0,78702,2012,7
50.0,78702,2012,8
57.0,78702,2012,9
52.0,78702,2012,10
55.0,78702,2012,11
50.0,78702,2012,12
46.0,78702,2013,1
42.0,78702,2013,2
42.0,78702,2013,3
44.0,78702,2013,4
43.0,78702,2013,5
43.0,78702,2013,6
40.0,78702,2013,7
48.0,78702,2013,8
55.0,78702,2013,9
56.0,78702,2013,10
57.0,78702,2013,11
53.0,78702,2013,12
69.0,78702,2014,1
66.0,78702,2014,2
67.0,78702,2014,3
61.0,78702,2014,4
36.0,78702,2014,5
37.0,78702,2014,6
45.0,78702,2014,7
52.0,78702,2014,8
58.0,78702,2014,9
59.0,78702,2014,10
63.0,78702,2014,11
58.0,78702,2014,12
62.0,78702,2015,1
70.0,78702,2015,2
76.0,78702,2015,3
75.0,78702,2015,4
75.0,78702,2015,5
84.0,78702,2015,6
84.0,78702,2015,7
92.0,78702,2015,8
102.0,78702,2015,9
101.0,78702,2015,10
112.0,78702,2015,11
101.0,78702,2015,12
88.0,78702,2016,1
94.0,78702,2016,2
85.0,78702,2016,3
88.0,78702,2016,4
78.0,78702,2016,5
96.0,78702,2016,6
115.0,78702,2016,7
152.0,78702,2016,8
157.0,78702,2016,9
164.0,78702,2016,10
161.0,78702,2016,11
159.0,78702,2016,12
150.0,78702,2017,1
147.0,78702,2017,2
128.0,78702,2017,3
122.0,78702,2017,4
116.0,78702,2017,5
138.0,78702,2017,6
142.0,78702,2017,7
160.0,78702,2017,8
162.0,78702,2017,9
150.0,78702,2017,10
138.0,78702,2017,11
122.0,78702,2017,12
93.0,78702,2018,1
100.0,78702,2018,2
98.0,78702,2018,3
96.0,78702,2018,4
204.0,78703,2010,1
202.0,78703,2010,2
228.0,78703,2010,3
242.0,78703,2010,4
232.0,78703,2010,5
239.0,78703,2010,6
234.0,78703,2010,7
218.0,78703,2010,8
209.0,78703,2010,9
208.0,78703,2010,10
201.0,78703,2010,11
183.0,78703,2010,12
165.0,78703,2011,1
176.0,78703,2011,2
182.0,78703,2011,3
216.0,78703,2011,4
218.0,78703,2011,5
223.0,78703,2011,6
224.0,78703,2011,7
193.0,78703,2011,8
177.0,78703,2011,9
159.0,78703,2011,10
152.0,78703,2011,11
128.0,78703,2011,12
121.0,78703,2012,1
103.0,78703,2012,2
121.0,78703,2012,3
121.0,78703,2012,4
121.0,78703,2012,5
121.0,78703,2012,6
112.0,78703,2012,7
101.0,78703,2012,8
92.0,78703,2012,9
95.0,78703,2012,10
88.0,78703,2012,11
72.0,78703,2012,12
60.0,78703,2013,1
58.0,78703,2013,2
72.0,78703,2013,3
74.0,78703,2013,4
80.0,78703,2013,5
80.0,78703,2013,6
86.0,78703,2013,7
85.0,78703,2013,8
80.0,78703,2013,9
69.0,78703,2013,10
64.0,78703,2013,11
52.0,78703,2013,12
41.0,78703,2014,1
34.0,78703,2014,2
42.0,78703,2014,3
53.0,78703,2014,4
42.0,78703,2014,5
54.0,78703,2014,6
57.0,78703,2014,7
48.0,78703,2014,8
46.0,78703,2014,9
48.0,78703,2014,10
50.0,78703,2014,11
49.0,78703,2014,12
39.0,78703,2015,1
50.0,78703,2015,2
56.0,78703,2015,3
70.0,78703,2015,4
90.0,78703,2015,5
86.0,78703,2015,6
107.0,78703,2015,7
101.0,78703,2015,8
76.0,78703,2015,9
81.0,78703,2015,10
74.0,78703,2015,11
69.0,78703,2015,12
63.0,78703,2016,1
73.0,78703,2016,2
78.0,78703,2016,3
84.0,78703,2016,4
91.0,78703,2016,5
107.0,78703,2016,6
108.0,78703,2016,7
114.0,78703,2016,8
107.0,78703,2016,9
107.0,78703,2016,10
91.0,78703,2016,11
84.0,78703,2016,12
82.0,78703,2017,1
83.0,78703,2017,2
98.0,78703,2017,3
99.0,78703,2017,4
129.0,78703,2017,5
122.0,78703,2017,6
126.0,78703,2017,7
120.0,78703,2017,8
120.0,78703,2017,9
124.0,78703,2017,10
111.0,78703,2017,11
86.0,78703,2017,12
73.0,78703,2018,1
80.0,78703,2018,2
87.0,78703,2018,3
97.0,78703,2018,4
309.0,78704,2010,1
338.0,78704,2010,2
339.0,78704,2010,3
345.0,78704,2010,4
321.0,78704,2010,5
327.0,78704,2010,6
324.0,78704,2010,7
282.0,78704,2010,8
268.0,78704,2010,9
266.0,78704,2010,10
268.0,78704,2010,11
237.0,78704,2010,12
216.0,78704,2011,1
218.0,78704,2011,2
230.0,78704,2011,3
262.0,78704,2011,4
242.0,78704,2011,5
243.0,78704,2011,6
244.0,78704,2011,7
232.0,78704,2011,8
210.0,78704,2011,9
196.0,78704,2011,10
179.0,78704,2011,11
153.0,78704,2011,12
142.0,78704,2012,1
154.0,78704,2012,2
160.0,78704,2012,3
156.0,78704,2012,4
152.0,78704,2012,5
149.0,78704,2012,6
147.0,78704,2012,7
140.0,78704,2012,8
135.0,78704,2012,9
160.0,78704,2012,10
145.0,78704,2012,11
110.0,78704,2012,12
102.0,78704,2013,1
74.0,78704,2013,2
72.0,78704,2013,3
81.0,78704,2013,4
98.0,78704,2013,5
108.0,78704,2013,6
106.0,78704,2013,7
114.0,78704,2013,8
126.0,78704,2013,9
114.0,78704,2013,10
112.0,78704,2013,11
102.0,78704,2013,12
81.0,78704,2014,1
72.0,78704,2014,2
85.0,78704,2014,3
88.0,78704,2014,4
73.0,78704,2014,5
84.0,78704,2014,6
127.0,78704,2014,7
130.0,78704,2014,8
120.0,78704,2014,9
103.0,78704,2014,10
103.0,78704,2014,11
105.0,78704,2014,12
102.0,78704,2015,1
104.0,78704,2015,2
113.0,78704,2015,3
133.0,78704,2015,4
144.0,78704,2015,5
166.0,78704,2015,6
182.0,78704,2015,7
192.0,78704,2015,8
190.0,78704,2015,9
203.0,78704,2015,10
186.0,78704,2015,11
149.0,78704,2015,12
137.0,78704,2016,1
152.0,78704,2016,2
180.0,78704,2016,3
203.0,78704,2016,4
209.0,78704,2016,5
221.0,78704,2016,6
220.0,78704,2016,7
232.0,78704,2016,8
244.0,78704,2016,9
236.0,78704,2016,10
211.0,78704,2016,11
188.0,78704,2016,12
181.0,78704,2017,1
180.0,78704,2017,2
193.0,78704,2017,3
216.0,78704,2017,4
239.0,78704,2017,5
256.0,78704,2017,6
252.0,78704,2017,7
270.0,78704,2017,8
260.0,78704,2017,9
268.0,78704,2017,10
226.0,78704,2017,11
184.0,78704,2017,12
155.0,78704,2018,1
143.0,78704,2018,2
162.0,78704,2018,3
174.0,78704,2018,4
159.0,78717,2010,1
164.0,78717,2010,2
172.0,78717,2010,3
167.0,78717,2010,4
152.0,78717,2010,5
179.0,78717,2010,6
176.0,78717,2010,7
162.0,78717,2010,8
157.0,78717,2010,9
172.0,78717,2010,10
172.0,78717,2010,11
156.0,78717,2010,12
172.0,78717,2011,1
184.0,78717,2011,2
180.0,78717,2011,3
194.0,78717,2011,4
188.0,78717,2011,5
189.0,78717,2011,6
177.0,78717,2011,7
159.0,78717,2011,8
140.0,78717,2011,9
123.0,78717,2011,10
122.0,78717,2011,11
101.0,78717,2011,12
91.0,78717,2012,1
97.0,78717,2012,2
101.0,78717,2012,3
98.0,78717,2012,4
102.0,78717,2012,5
108.0,78717,2012,6
106.0,78717,2012,7
93.0,78717,2012,8
82.0,78717,2012,9
73.0,78717,2012,10
73.0,78717,2012,11
60.0,78717,2012,12
55.0,78717,2013,1
64.0,78717,2013,2
68.0,78717,2013,3
56.0,78717,2013,4
63.0,78717,2013,5
60.0,78717,2013,6
65.0,78717,2013,7
68.0,78717,2013,8
65.0,78717,2013,9
58.0,78717,2013,10
50.0,78717,2013,11
