Median Listing Price,Zip Code,Year,Month
498000.0,78701,2015,2
465000.0,78701,2015,3
475000.0,78701,2015,4
474750.0,78701,2015,5
509999.0,78701,2015,6
522247.5,78701,2015,7
533700.0,78701,2015,8
539900.0,78701,2015,9
533280.0,78701,2015,10
491950.0,78701,2015,11
491950.0,78701,2015,12
494900.0,78701,2016,1
519950.0,78701,2016,2
509950.0,78701,2016,3
499500.0,78701,2016,4
537000.0,78701,2016,5
545000.0,78701,2016,6
535000.0,78701,2016,7
585000.0,78701,2016,8
585000.0,78701,2016,9
597450.0,78701,2016,10
573450.0,78701,2016,11
573450.0,78701,2016,12
574950.0,78701,2017,1
564500.0,78701,2017,2
561950.0,78701,2017,3
587950.0,78701,2017,4
596850.0,78701,2017,5
598000.0,78701,2017,6
598700.0,78701,2017,7
605000.0,78701,2017,8
210000.0,78702,2010,1
199999.0,78702,2010,2
200000.0,78702,2010,3
207250.0,78702,2010,4
209900.0,78702,2010,5
209900.0,78702,2010,6
212700.0,78702,2010,7
211450.0,78702,2010,8
209700.0,78702,2010,9
200000.0,78702,2010,10
199997.0,78702,2010,11
199999.0,78702,2010,12
199999.0,78702,2011,1
199000.0,78702,2011,2
199000.0,78702,2011,3
190000.0,78702,2011,4
198900.0,78702,2011,5
199900.0,78702,2011,6
210000.0,78702,2011,7
210000.0,78702,2011,8
202500.0,78702,2011,9
209000.0,78702,2011,10
215000.0,78702,2011,11
209997.5,78702,2011,12
206500.0,78702,2012,1
209997.5,78702,2012,2
214900.0,78702,2012,3
210000.0,78702,2012,4
216000.0,78702,2012,5
220000.0,78702,2012,6
219950.0,78702,2012,7
218000.0,78702,2012,8
220000.0,78702,2012,9
216000.0,78702,2012,10
249000.0,78702,2012,11
259700.0,78702,2012,12
251000.0,78702,2013,1
259350.0,78702,2013,2
274750.0,78702,2013,3
279000.0,78702,2013,4
279000.0,78702,2013,5
283000.0,78702,2013,6
289000.0,78702,2013,7
309500.0,78702,2013,8
314900.0,78702,2013,9
309900.0,78702,2013,10
309950.0,78702,2013,11
315000.0,78702,2013,12
335000.0,78702,2014,1
342845.0,78702,2014,2
349900.0,78702,2014,3
350000.0,78702,2014,4
374900.0,78702,2014,5
355000.0,78702,2014,6
374900.0,78702,2014,7
346945.0,78702,2014,8
350000.0,78702,2014,9
359000.0,78702,2014,10
370000.0,78702,2014,11
372500.0,78702,2014,12
399900.0,78702,2015,1
374900.0,78702,2015,2
369900.0,78702,2015,3
375000.0,78702,2015,4
375000.0,78702,2015,5
380000.0,78702,2015,6
385000.0,78702,2015,7
399000.0,78702,2015,8
399999.5,78702,2015,9
400000.0,78702,2015,10
400000.0,78702,2015,11
399900.0,78702,2015,12
399950.0,78702,2016,1
408450.0,78702,2016,2
417500.0,78702,2016,3
399500.0,78702,2016,4
399000.0,78702,2016,5
419900.0,78702,2016,6
400000.0,78702,2016,7
399900.0,78702,2016,8
399350.0,78702,2016,9
399000.0,78702,2016,10
400000.0,78702,2016,11
399000.0,78702,2016,12
400000.0,78702,2017,1
409000.0,78702,2017,2
412500.0,78702,2017,3
419450.0,78702,2017,4
