Median Listing Price Per sqf,Zip Code,Year,Month
342.53080012391,78701,2010,1
342.24528659928,78701,2010,2
339.80362537764,78701,2010,3
330.22081462779,78701,2010,4
332.04508856683,78701,2010,5
329.46758039009,78701,2010,6
327.64110538771,78701,2010,7
331.97368421053,78701,2010,8
331.47459727385,78701,2010,9
332.55465849226,78701,2010,10
327.51842751843,78701,2010,11
329.02363683614,78701,2010,12
319.23885618167,78701,2011,1
318.96551724138,78701,2011,2
306.12485276796,78701,2011,3
316.21201365649,78701,2011,4
317.57009345794,78701,2011,5
325.81648522551,78701,2011,6
326.51632970451,78701,2011,7
342.97219500245,78701,2011,8
349.05913978495,78701,2011,9
351.28617363344,78701,2011,10
348.40281774067,78701,2011,11
329.67032967033,78701,2011,12
329.81041235992,78701,2012,1
327.61692858109,78701,2012,2
330.68783068783,78701,2012,3
346.82860998651,78701,2012,4
375.37097127286,78701,2012,5
380.81086092974,78701,2012,6
388.49760768559,78701,2012,7
359.87022572688,78701,2012,8
379.86666666667,78701,2012,9
379.86666666667,78701,2012,10
383.85041580324,78701,2012,11
398.44317737157,78701,2012,12
403.17834020012,78701,2013,1
386.51202749141,78701,2013,2
392.97272306981,78701,2013,3
399.52978056426,78701,2013,4
411.09625668449,78701,2013,5
408.02072066944,78701,2013,6
396.64713323909,78701,2013,7
413.58024691358,78701,2013,8
401.51157298063,78701,2013,9
404.75941274646,78701,2013,10
406.07054963084,78701,2013,11
412.71269417026,78701,2013,12
429.08788205203,78701,2014,1
495.6550802139,78701,2014,2
484.38458841062,78701,2014,3
463.3573491605,78701,2014,4
498.93819459006,78701,2014,5
496.76072674634,78701,2014,6
514.77170993733,78701,2014,7
489.10601668941,78701,2014,8
517.41293532338,78701,2014,9
524.61508514007,78701,2014,10
484.63278105154,78701,2014,11
493.28947368421,78701,2014,12
535.59859612635,78701,2015,1
491.19638826185,78701,2015,2
487.08920187793,78701,2015,3
504.18929402638,78701,2015,4
510.64668769716,78701,2015,5
518.12334384858,78701,2015,6
517.68534285064,78701,2015,7
496.82676841357,78701,2015,8
525.9623992838,78701,2015,9
516.42817655015,78701,2015,10
491.30079681275,78701,2015,11
489.16213081944,78701,2015,12
