Sales,Zip Code,Year,Month
88.0,78701,2008,6
81.0,78701,2008,7
71.0,78701,2008,8
40.0,78701,2008,9
36.0,78701,2008,10
8.0,78701,2008,11
6.0,78701,2008,12
1.0,78701,2009,1
7.0,78701,2009,2
9.0,78701,2009,3
4.0,78701,2009,4
9.0,78701,2009,5
16.0,78701,2009,6
16.0,78701,2009,7
13.0,78701,2009,8
17.0,78701,2009,9
11.0,78701,2009,10
13.0,78701,2009,11
10.0,78701,2009,12
2.0,78701,2010,1
4.0,78701,2010,2
12.0,78701,2010,3
6.0,78701,2010,4
16.0,78701,2010,5
21.0,78701,2010,6
15.0,78701,2010,7
16.0,78701,2010,8
17.0,78701,2010,9
14.0,78701,2010,10
8.0,78701,2010,11
15.0,78701,2010,12
12.0,78701,2011,1
11.0,78701,2011,2
15.0,78701,2011,3
17.0,78701,2011,4
20.0,78701,2011,5
28.0,78701,2011,6
17.0,78701,2011,7
24.0,78701,2011,8
14.0,78701,2011,9
9.0,78701,2011,10
7.0,78701,2011,11
14.0,78701,2011,12
8.0,78701,2012,1
8.0,78701,2012,2
67.0,78701,2012,3
14.0,78701,2012,4
21.0,78701,2012,5
26.0,78701,2012,6
23.0,78701,2012,7
19.0,78701,2012,8
10.0,78701,2012,9
18.0,78701,2012,10
12.0,78701,2012,11
16.0,78701,2012,12
16.0,78701,2013,1
11.0,78701,2013,2
11.0,78701,2013,3
34.0,78701,2013,4
32.0,78701,2013,5
22.0,78701,2013,6
18.0,78701,2013,7
14.0,78701,2013,8
9.0,78701,2013,9
16.0,78701,2013,10
13.0,78701,2013,11
17.0,78701,2013,12
7.0,78701,2014,1
10.0,78701,2014,2
16.0,78701,2014,3
23.0,78701,2014,4
28.0,78701,2014,5
12.0,78701,2014,6
12.0,78701,2014,7
14.0,78701,2014,8
11.0,78701,2014,9
10.0,78701,2014,10
15.0,78701,2014,11
1.0,78701,2014,12
8.0,78701,2015,1
11.0,78701,2015,2
6.0,78701,2015,3
20.0,78701,2015,4
11.0,78701,2015,5
20.0,78701,2015,6
14.0,78701,2015,7
15.0,78701,2015,8
14.0,78701,2015,9
8.0,78701,2015,10
13.0,78701,2015,11
8.0,78701,2015,12
11.0,78701,2016,1
13.0,78701,2016,2
33.0,78701,2016,3
46.0,78701,2016,4
43.0,78701,2016,5
25.0,78702,2008,6
31.0,78702,2008,7
28.0,78702,2008,8
27.0,78702,2008,9
20.0,78702,2008,10
23.0,78702,2008,11
7.0,78702,2008,12
9.0,78702,2009,1
14.0,78702,2009,2
16.0,78702,2009,3
16.0,78702,2009,4
17.0,78702,2009,5
24.0,78702,2009,6
28.0,78702,2009,7
10.0,78702,2009,8
16.0,78702,2009,9
15.0,78702,2009,10
22.0,78702,2009,11
22.0,78702,2009,12
16.0,78702,2010,1
12.0,78702,2010,2
24.0,78702,2010,3
19.0,78702,2010,4
25.0,78702,2010,5
25.0,78702,2010,6
15.0,78702,2010,7
22.0,78702,2010,8
11.0,78702,2010,9
8.0,78702,2010,10
15.0,78702,2010,11
24.0,78702,2010,12
5.0,78702,2011,1
23.0,78702,2011,2
23.0,78702,2011,3
18.0,78702,2011,4
21.0,78702,2011,5
28.0,78702,2011,6
20.0,78702,2011,7
16.0,78702,2011,8
6.0,78702,2011,9
10.0,78702,2011,10
12.0,78702,2011,11
22.0,78702,2011,12
17.0,78702,2012,1
15.0,78702,2012,2
20.0,78702,2012,3
16.0,78702,2012,4
28.0,78702,2012,5
30.0,78702,2012,6
19.0,78702,2012,7
27.0,78702,2012,8
16.0,78702,2012,9
40.0,78702,2012,10
18.0,78702,2012,11
12.0,78702,2012,12
13.0,78702,2013,1
9.0,78702,2013,2
12.0,78702,2013,3
9.0,78702,2013,4
17.0,78702,2013,5
25.0,78702,2013,6
23.0,78702,2013,7
14.0,78702,2013,8
12.0,78702,2013,9
10.0,78702,2013,10
8.0,78702,2013,11
12.0,78702,2013,12
3.0,78702,2014,1
27.0,78702,2014,2
20.0,78702,2014,3
21.0,78702,2014,4
12.0,78702,2014,5
9.0,78702,2014,6
13.0,78702,2014,7
10.0,78702,2014,8
12.0,78702,2014,9
7.0,78702,2014,10
8.0,78702,2014,11
23.0,78702,2014,12
11.0,78702,2015,1
11.0,78702,2015,2
13.0,78702,2015,3
17.0,78702,2015,4
27.0,78702,2015,5
22.0,78702,2015,6
32.0,78702,2015,7
27.0,78702,2015,8
24.0,78702,2015,9
25.0,78702,2015,10
23.0,78702,2015,11
33.0,78702,2015,12
21.0,78702,2016,1
22.0,78702,2016,2
36.0,78702,2016,3
32.0,78702,2016,4
30.0,78702,2016,5
4.0,78702,2016,6
31.0,78703,2008,6
22.0,78703,2008,7
22.0,78703,2008,8
30.0,78703,2008,9
21.0,78703,2008,10
10.0,78703,2008,11
15.0,78703,2008,12
8.0,78703,2009,1
13.0,78703,2009,2
10.0,78703,2009,3
8.0,78703,2009,4
20.0,78703,2009,5
14.0,78703,2009,6
19.0,78703,2009,7
28.0,78703,2009,8
