Median Rental Price,Zip Code,Year,Month
1850.0,78701,2011,1
1925.0,78701,2011,2
2000.0,78701,2011,3
2200.0,78701,2011,4
2020.0,78701,2011,5
2100.0,78701,2011,6
2075.0,78701,2011,7
2100.0,78701,2011,8
2050.0,78701,2011,9
2000.0,78701,2011,10
2016.0,78701,2011,11
1995.0,78701,2011,12
2050.0,78701,2012,1
2095.0,78701,2012,2
2200.0,78701,2012,3
2200.0,78701,2012,4
2100.0,78701,2012,5
2100.0,78701,2012,6
2100.0,78701,2012,7
2000.0,78701,2012,8
2000.0,78701,2012,9
2100.0,78701,2012,10
2200.0,78701,2012,11
2300.0,78701,2012,12
2100.0,78701,2013,1
2100.0,78701,2013,2
2100.0,78701,2013,3
2108.0,78701,2013,4
2140.0,78701,2013,5
2260.0,78701,2013,6
2100.0,78701,2013,7
2163.0,78701,2013,8
2212.5,78701,2013,9
2250.0,78701,2013,10
2295.0,78701,2013,11
2342.5,78701,2013,12
2325.0,78701,2014,1
2300.0,78701,2014,2
2250.0,78701,2014,3
2250.0,78701,2014,4
2297.5,78701,2014,5
2250.0,78701,2014,6
2100.0,78701,2014,7
2200.0,78701,2014,8
2200.0,78701,2014,9
2247.5,78701,2014,10
2400.0,78701,2014,11
2400.0,78701,2014,12
2400.0,78701,2015,1
2400.0,78701,2015,2
2496.0,78701,2015,3
2495.0,78701,2015,4
2472.5,78701,2015,5
2345.0,78701,2015,6
2200.0,78701,2015,7
2300.0,78701,2015,8
2300.0,78701,2015,9
2395.0,78701,2015,10
2372.5,78701,2015,11
2495.0,78701,2015,12
2472.0,78701,2016,1
2400.0,78701,2016,2
2375.0,78701,2016,3
2473.0,78701,2016,4
2498.5,78701,2016,5
2450.0,78701,2016,6
2250.0,78701,2016,7
2449.0,78701,2016,8
2543.0,78701,2016,9
2250.0,78701,2016,10
2200.0,78701,2016,11
2125.0,78701,2016,12
2395.0,78701,2017,1
2400.0,78701,2017,2
2400.0,78701,2017,3
2449.0,78701,2017,4
2400.0,78701,2017,5
2300.0,78701,2017,6
2350.0,78701,2017,7
2300.0,78701,2017,8
