Date,Value
2018-05-31,4.56
2018-04-30,4.58
2018-03-31,4.44
2018-02-28,4.4
2018-01-31,4.15
2017-12-31,3.99
2017-11-30,3.9
2017-10-31,3.94
2017-09-30,3.83
2017-08-31,3.82
2017-07-31,3.92
2017-06-30,3.88
2017-05-31,3.95
2017-04-30,4.03
2017-03-31,4.14
2017-02-28,4.16
2017-01-31,4.19
2016-12-31,4.32
2016-11-30,4.03
2016-10-31,3.47
2016-09-30,3.42
2016-08-31,3.43
2016-07-31,3.48
2016-06-30,3.48
2016-05-31,3.64
2016-04-30,3.66
2016-03-31,3.71
2016-02-29,3.62
2016-01-31,3.79
2015-12-31,4.01
2015-11-30,3.95
2015-10-31,3.76
2015-09-30,3.86
2015-08-31,3.84
2015-07-31,3.98
2015-06-30,4.02
2015-05-31,3.87
2015-04-30,3.68
2015-03-31,3.69
2015-02-28,3.8
2015-01-31,3.66
2014-12-31,3.87
2014-11-30,3.97
2014-10-31,3.98
2014-09-30,4.2
2014-08-31,4.1
2014-07-31,4.12
2014-06-30,4.14
2014-05-31,4.12
2014-04-30,4.33
2014-03-31,4.4
2014-02-28,4.37
2014-01-31,4.32
2013-12-31,4.48
2013-11-30,4.29
2013-10-31,4.1
2013-09-30,4.32
2013-08-31,4.51
2013-07-31,4.31
2013-06-30,4.46
2013-05-31,3.81
2013-04-30,3.4
2013-03-31,3.57
2013-02-28,3.51
2013-01-31,3.53
2012-12-31,3.35
2012-11-30,3.32
2012-10-31,3.41
2012-09-30,3.4
2012-08-31,3.59
2012-07-31,3.49
2012-06-30,3.66
2012-05-31,3.75
2012-04-30,3.88
2012-03-31,3.99
2012-02-29,3.95
2012-01-31,3.98
2011-12-31,3.95
2011-11-30,3.98
2011-10-31,4.1
2011-09-30,4.01
2011-08-31,4.22
2011-07-31,4.55
2011-06-30,4.51
2011-05-31,4.6
2011-04-30,4.78
2011-03-31,4.86
2011-02-28,4.95
2011-01-31,4.8
2010-12-31,4.86
2010-11-30,4.4
2010-10-31,4.23
2010-09-30,4.32
2010-08-31,4.36
2010-07-31,4.54
2010-06-30,4.69
2010-05-31,4.78
2010-04-30,5.06
2010-03-31,4.99
2010-02-28,5.05
2010-01-31,4.98
2009-12-31,5.14
2009-11-30,4.78
2009-10-31,5.03
2009-09-30,5.04
2009-08-31,5.14
2009-07-31,5.25
2009-06-30,5.42
2009-05-31,4.91
2009-04-30,4.78
2009-03-31,4.85
2009-02-28,5.07
2009-01-31,5.1
2008-12-31,5.1
2008-11-30,5.97
2008-10-31,6.46
2008-09-30,6.09
2008-08-31,6.4
2008-07-31,6.52
2008-06-30,6.45
2008-05-31,6.08
2008-04-30,6.03
2008-03-31,5.85
2008-02-29,6.24
2008-01-31,5.68
2007-12-31,6.17
2007-11-30,6.1
2007-10-31,6.33
2007-09-30,6.42
2007-08-31,6.45
2007-07-31,6.69
2007-06-30,6.67
2007-05-31,6.42
2007-04-30,6.16
2007-03-31,6.16
2007-02-28,6.22
2007-01-31,6.25
2006-12-31,6.18
2006-11-30,6.14
2006-10-31,6.4
2006-09-30,6.31
2006-08-31,6.44
2006-07-31,6.72
2006-06-30,6.78
2006-05-31,6.62
2006-04-30,6.58
2006-03-31,6.35
2006-02-28,6.26
2006-01-31,6.12
2005-12-31,6.22
2005-11-30,6.28
2005-10-31,6.15
2005-09-30,5.91
2005-08-31,5.77
2005-07-31,5.77
2005-06-30,5.53
2005-05-31,5.65
2005-04-30,5.78
2005-03-31,6.04
2005-02-28,5.69
2005-01-31,5.66
2004-12-31,5.81
2004-11-30,5.72
2004-10-31,5.64
2004-09-30,5.72
2004-08-31,5.82
2004-07-31,6.08
2004-06-30,6.25
2004-05-31,6.32
2004-04-30,6.01
2004-03-31,5.4
2004-02-29,5.58
2004-01-31,5.68
2003-12-31,5.85
2003-11-30,5.89
2003-10-31,5.94
2003-09-30,5.98
2003-08-31,6.32
2003-07-31,5.94
2003-06-30,5.24
2003-05-31,5.31
2003-04-30,5.79
2003-03-31,5.91
2003-02-28,5.79
2003-01-31,5.9
2002-12-31,5.93
2002-11-30,6.13
2002-10-31,6.31
2002-09-30,5.99
2002-08-31,6.22
2002-07-31,6.34
2002-06-30,6.55
2002-05-31,6.76
2002-04-30,6.88
2002-03-31,7.18
2002-02-28,6.81
2002-01-31,6.96
2001-12-31,7.16
2001-11-30,7.02
2001-10-31,6.64
2001-09-30,6.72
2001-08-31,6.92
2001-07-31,7.03
2001-06-30,7.11
2001-05-31,7.2
2001-04-30,7.12
2001-03-31,6.91
2001-02-28,7.12
2001-01-31,7.15
2000-12-31,7.13
2000-11-30,7.73
2000-10-31,7.68
2000-09-30,7.88
2000-08-31,7.99
2000-07-31,8.13
2000-06-30,8.22
2000-05-31,8.62
2000-04-30,8.13
2000-03-31,8.23
2000-02-29,8.31
2000-01-31,8.25
1999-12-31,8.06
1999-11-30,7.75
1999-10-31,7.96
1999-09-30,7.76
1999-08-31,7.8
1999-07-31,7.7
1999-06-30,7.63
1999-05-31,7.23
1999-04-30,6.93
1999-03-31,6.98
1999-02-28,6.89
1999-01-31,6.74
1998-12-31,6.83
1998-11-30,6.78
1998-10-31,6.83
1998-09-30,6.64
1998-08-31,6.92
1998-07-31,6.97
1998-06-30,6.96
1998-05-31,7.07
1998-04-30,7.15
1998-03-31,7.08
1998-02-28,7.09
1998-01-31,7.12
1997-12-31,6.99
1997-11-30,7.17
1997-10-31,7.21
1997-09-30,7.28
1997-08-31,7.58
1997-07-31,7.43
1997-06-30,7.58
1997-05-31,7.94
1997-04-30,8.08
1997-03-31,7.97
1997-02-28,7.65
1997-01-31,7.88
1996-12-31,7.64
1996-11-30,7.52
1996-10-31,7.86
1996-09-30,8.16
1996-08-31,8.09
1996-07-31,8.19
1996-06-30,8.29
1996-05-31,8.03
1996-04-30,7.92
