GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars)
8600000US73430,73430,ZCTA5 73430,521,77,431,75,383,67,90,42,52019,10331,54010,7525,54115,9400,27500,16254,58931,10422,63268,11898,N,N,33696,11628
8600000US73931,73931,ZCTA5 73931,252,40,193,36,181,34,59,24,66818,5504,68438,25103,73438,30252,44659,16934,81198,12705,89122,15759,N,N,55275,20996
8600000US73949,73949,ZCTA5 73949,573,66,425,62,375,69,148,42,45972,4870,56125,10701,60398,5578,32353,4828,53591,5667,58115,7239,N,N,31432,6256
8600000US75001,75001,ZCTA5 75001,7001,361,2564,216,1823,238,4437,467,55855,4998,65663,5594,76995,27032,52541,3624,77641,6746,87319,8641,N,N,69247,8360
8600000US75002,75002,ZCTA5 75002,21082,415,17135,491,14119,501,3947,390,91950,3105,103020,4646,111976,4648,51604,2531,106455,4023,114570,4622,N,N,67631,6472
8600000US75006,75006,ZCTA5 75006,16710,439,11704,345,8508,441,5006,460,57002,2431,60023,3379,67694,3314,47385,3960,73830,3035,77692,4023,N,N,60870,6175
8600000US75007,75007,ZCTA5 75007,18422,412,14093,473,11250,505,4329,389,80000,3671,88784,3815,100883,5292,51451,5968,96653,3851,106278,5220,N,N,61657,6797
8600000US75009,75009,ZCTA5 75009,2752,223,2253,179,1912,205,499,158,88682,11055,103806,10768,110833,7565,37969,2311,110711,14964,122554,18358,N,N,53341,18310
8600000US75010,75010,ZCTA5 75010,8310,361,6390,378,4753,347,1920,335,74578,7115,82563,9033,91142,8274,60243,10635,92705,6832,97730,8113,N,N,68832,7296
8600000US75013,75013,ZCTA5 75013,9995,292,7995,299,7123,325,2000,288,129124,6323,147157,11685,154838,6379,55673,10919,147564,7581,163035,8682,N,N,83970,12630
8600000US75019,75019,ZCTA5 75019,14064,292,11144,285,9322,348,2920,313,106887,4387,124302,4325,133850,5035,55529,6170,130746,5191,145113,6230,N,N,73874,9941
8600000US75020,75020,ZCTA5 75020,8917,334,5890,305,4037,306,3027,282,39795,3437,55931,4895,64554,5418,22656,3465,54030,3239,64977,4519,N,N,31247,4120
8600000US75021,75021,ZCTA5 75021,3231,203,2193,214,1558,211,1038,183,41028,6038,57825,11576,66636,10291,18886,2724,54528,4786,66030,6141,N,N,27101,5007
8600000US75022,75022,ZCTA5 75022,6912,250,6064,241,5324,242,848,255,140787,8099,148121,3862,156099,6095,65847,17977,167734,10093,179993,10716,N,N,72268,12436
8600000US75023,75023,ZCTA5 75023,17539,379,12714,418,9735,408,4825,367,73814,2754,83136,2458,94625,5023,49025,3409,88035,3017,98247,3580,N,N,59354,4286
8600000US75024,75024,ZCTA5 75024,15335,410,9709,518,8418,470,5626,389,90804,6008,118321,6096,127898,7806,54458,4298,114195,4694,140530,6359,N,N,67432,5668
8600000US75025,75025,ZCTA5 75025,18150,316,13852,368,11968,405,4298,344,105482,3626,121604,3892,132159,5451,54242,4875,122103,4330,137564,4631,N,N,68939,7325
8600000US75028,75028,ZCTA5 75028,13856,279,11714,308,10247,347,2142,311,110286,3911,117842,6608,127450,4941,65893,7178,127806,5027,137334,6370,N,N,71913,6266
8600000US75032,75032,ZCTA5 75032,9722,406,7958,378,6597,428,1764,251,91456,5663,100026,10151,112781,6610,43697,5923,113362,6561,123433,7727,N,N,59421,9933
8600000US75034,75034,ZCTA5 75034,24076,449,19487,517,16646,466,4589,451,112937,4687,123388,4417,132897,4375,66163,10005,135869,5097,145953,6246,N,N,87159,11012
8600000US75035,75035,ZCTA5 75035,16375,353,13442,382,11096,426,2933,328,101114,3365,108483,4802,115704,3331,56513,7207,109284,3700,116133,4160,N,N,73726,7559
8600000US75038,75038,ZCTA5 75038,11839,410,6481,427,4379,361,5358,420,46357,3218,53922,6334,71795,4176,40100,4495,68381,4195,80428,7047,N,N,52521,5555
8600000US75039,75039,ZCTA5 75039,6423,290,2524,300,2089,270,3899,305,71054,7755,95375,11303,115216,27224,58567,4997,110017,12181,147033,22580,N,N,84958,13356
8600000US75040,75040,ZCTA5 75040,17591,353,14340,321,10423,434,3251,346,54420,2226,56978,3057,66321,2948,35661,5137,65158,2310,67857,2569,N,N,45763,5184
8600000US75041,75041,ZCTA5 75041,9354,291,6983,279,4589,324,2371,258,42621,2126,46205,3058,54541,4626,29366,2505,53283,2895,56852,3897,N,N,35974,3723
8600000US75042,75042,ZCTA5 75042,11176,271,8566,327,5719,286,2610,317,42586,2574,44429,3546,51416,4020,32324,7868,51961,2848,54055,3721,N,N,38501,3977
8600000US75043,75043,ZCTA5 75043,19940,382,14868,479,10391,467,5072,381,56192,3559,63298,2469,75467,2490,37500,3798,68069,2092,72876,2444,N,N,48679,6503
8600000US75044,75044,ZCTA5 75044,14850,369,11151,411,8152,440,3699,324,66166,3597,76377,4902,93888,3660,46409,3097,82922,2745,91475,3476,N,N,53322,4187
8600000US75048,75048,ZCTA5 75048,6655,276,5737,247,4671,307,918,208,88691,3778,92120,5921,102519,6736,53750,8167,98334,4457,103946,5082,N,N,60536,8306
8600000US75050,75050,ZCTA5 75050,14875,484,9346,386,5991,390,5529,526,43753,2287,50817,4212,61123,1831,35865,2558,56274,2909,62753,4123,N,N,42548,3049
8600000US75051,75051,ZCTA5 75051,12904,394,9184,337,5815,352,3720,407,38048,2683,40395,2628,50742,4842,29290,4172,47802,2370,51130,3132,N,N,36553,3066
8600000US75052,75052,ZCTA5 75052,28346,566,22094,509,15912,554,6252,578,67547,2349,73767,1587,82468,2935,47512,6172,77015,2521,81804,2897,N,N,54906,5057
