GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US73430,73430,ZCTA5 73430,437,59,337,51,287,49,100,39,62589,6539,66250,6828,68304,7228,41071,23582
8600000US73931,73931,ZCTA5 73931,217,36,146,33,112,27,71,24,53854,7284,68000,9285,74167,27817,35536,9138
8600000US73949,73949,ZCTA5 73949,533,72,376,61,317,56,157,47,47330,9476,62500,12439,63194,9193,25515,14214
8600000US75001,75001,ZCTA5 75001,8384,310,2879,227,2181,248,5505,437,70020,5492,85052,8152,94284,9157,57331,7791
8600000US75002,75002,ZCTA5 75002,22000,490,18156,432,15188,480,3844,468,96060,3042,103784,4134,113241,4382,58949,6766
8600000US75006,75006,ZCTA5 75006,17852,392,11980,370,8849,328,5872,388,56577,2067,63704,2958,74133,4591,47156,4361
8600000US75007,75007,ZCTA5 75007,19273,417,14873,386,11577,431,4400,388,78488,3249,88559,3767,98359,4006,53036,3923
8600000US75009,75009,ZCTA5 75009,3462,247,2789,263,2447,243,673,180,92661,4927,103467,13922,107369,18950,32269,23106
8600000US75010,75010,ZCTA5 75010,10064,378,6278,314,5017,344,3786,448,78217,6462,99115,4732,105620,7551,52696,6554
8600000US75013,75013,ZCTA5 75013,12151,318,9928,358,8554,422,2223,355,122010,7942,140861,11744,153028,11551,61181,7680
8600000US75019,75019,ZCTA5 75019,14883,272,11697,198,10038,265,3186,296,114642,4912,132151,5799,147784,6659,63125,10948
8600000US75020,75020,ZCTA5 75020,8786,392,5794,282,4233,318,2992,364,47853,5733,64029,4302,71721,5422,23394,2744
8600000US75021,75021,ZCTA5 75021,3216,190,2348,198,1754,168,868,138,41512,7533,53800,4849,62136,8218,21776,6077
8600000US75022,75022,ZCTA5 75022,7328,203,6633,192,6088,216,695,149,149149,2925,152901,6717,162019,8608,75213,14997
8600000US75023,75023,ZCTA5 75023,18443,322,13674,420,10858,454,4769,377,77237,4043,85944,4030,95732,5228,52770,3966
8600000US75024,75024,ZCTA5 75024,17212,381,10663,382,9085,333,6549,410,88525,3849,115795,7287,127108,9356,55980,3224
8600000US75025,75025,ZCTA5 75025,19016,357,14399,442,12511,442,4617,435,109257,5726,129079,5776,139192,7388,52605,3623
8600000US75028,75028,ZCTA5 75028,15485,337,13155,262,11015,351,2330,242,110326,3970,118692,4728,130093,3222,65000,13046
8600000US75032,75032,ZCTA5 75032,10634,320,8785,382,7276,457,1849,318,96494,4249,104604,8023,117009,9736,47617,11475
8600000US75034,75034,ZCTA5 75034,30892,415,24144,419,20930,488,6748,444,114629,2999,130124,3351,141317,6364,56827,6000
8600000US75035,75035,ZCTA5 75035,19657,311,16209,350,13838,386,3448,271,118550,5564,127334,4367,135385,3298,67037,9483
8600000US75038,75038,ZCTA5 75038,12377,411,7013,504,4495,390,5364,498,46992,4006,53027,8805,70510,4888,41068,2093
8600000US75039,75039,ZCTA5 75039,8290,262,3870,330,3225,304,4420,334,82754,5189,100000,9519,105694,14087,67453,3801
8600000US75040,75040,ZCTA5 75040,18213,380,14255,360,10269,426,3958,336,57075,2091,60719,2315,68528,4482,36556,4916
8600000US75041,75041,ZCTA5 75041,9792,269,7505,289,5013,339,2287,259,39791,2488,41954,4559,48591,5497,28393,2924
8600000US75042,75042,ZCTA5 75042,11584,260,8536,378,5577,424,3048,375,41918,2806,42205,3357,52862,4594,32459,4250
8600000US75043,75043,ZCTA5 75043,20737,385,15105,413,10504,459,5632,415,56800,2165,63136,3457,75040,2807,39643,3080
8600000US75044,75044,ZCTA5 75044,15116,332,11149,433,7894,435,3967,345,60623,2759,63754,2754,77787,8159,49093,5062
8600000US75048,75048,ZCTA5 75048,7353,344,6177,342,4992,431,1176,297,93270,5996,96867,5792,104056,5669,48889,13404
8600000US75050,75050,ZCTA5 75050,14797,482,9409,449,6280,425,5388,483,47230,2566,50917,2508,60500,5814,38686,4185
8600000US75051,75051,ZCTA5 75051,12533,361,9286,378,5617,444,3247,331,39762,2703,44207,3809,55353,4616,26921,2353
8600000US75052,75052,ZCTA5 75052,28784,540,23630,522,17097,664,5154,465,72137,1917,75769,2242,86396,1904,55081,4320
8600000US75054,75054,ZCTA5 75054,2896,200,2586,203,2253,221,310,110,113967,5656,117540,9292,121152,14427,53529,36986
8600000US75056,75056,ZCTA5 75056,19961,519,13523,479,10707,469,6438,601,80941,4897,97377,6428,108575,7564,57267,5292
8600000US75057,75057,ZCTA5 75057,5041,205,3192,210,2117,208,1849,209,49729,2099,50143,5226,61058,7794,47823,3340
8600000US75058,75058,ZCTA5 75058,925,124,696,99,585,97,229,88,65069,11080,82969,15999,92891,15167,-,**
8600000US75060,75060,ZCTA5 75060,14568,259,11335,353,8017,379,3233,327,49695,3663,51424,1666,61250,2302,28891,4728
8600000US75061,75061,ZCTA5 75061,17575,391,12061,368,7764,383,5514,394,41727,974,43699,2660,50886,2573,31987,2158
8600000US75062,75062,ZCTA5 75062,16513,393,11007,399,7228,348,5506,410,48338,2085,51690,3206,62764,5026,36726,2015
8600000US75063,75063,ZCTA5 75063,15725,356,9359,411,7707,471,6366,468,83898,4923,108553,6151,119777,8123,56827,5755
8600000US75065,75065,ZCTA5 75065,4389,266,3316,224,2514,232,1073,242,74949,3687,79665,7935,89810,8799,58791,5466
8600000US75067,75067,ZCTA5 75067,25014,571,15768,538,10861,491,9246,550,57325,2010,66936,2697,79785,3680,42073,1950
8600000US75068,75068,ZCTA5 75068,15804,531,12903,456,10149,412,2901,388,88698,3465,92258,3281,101042,4524,56103,3169
8600000US75069,75069,ZCTA5 75069,13547,458,8921,435,6359,432,4626,478,50595,2158,62740,6469,75401,5525,35219,5365
8600000US75070,75070,ZCTA5 75070,30528,495,24095,519,20336,616,6433,506,96322,3802,109075,3092,116404,3857,53516,3016
8600000US75071,75071,ZCTA5 75071,15032,409,11901,419,10060,397,3131,413,88501,2762,97890,4962,104917,5930,60855,13762
8600000US75074,75074,ZCTA5 75074,16263,353,11920,434,8240,465,4343,448,59611,2888,66773,4957,84643,6233,37207,6712
8600000US75075,75075,ZCTA5 75075,13997,271,10028,392,7594,375,3969,358,71118,4197,90392,5972,106372,2497,40040,4007
8600000US75076,75076,ZCTA5 75076,3113,204,2080,236,1622,211,1033,199,53240,6098,74167,11622,74633,16809,26644,2227
8600000US75077,75077,ZCTA5 75077,12897,294,10020,381,8533,396,2877,352,101380,4794,114477,4654,124758,3976,46406,4471
8600000US75078,75078,ZCTA5 75078,5300,230,4490,232,4045,223,810,177,124600,7607,140119,10822,148750,9656,39828,24117
8600000US75080,75080,ZCTA5 75080,18431,446,11472,440,8972,479,6959,488,66865,3598,87073,5547,97375,5888,37989,5662
8600000US75081,75081,ZCTA5 75081,14360,385,10028,376,7819,397,4332,453,67673,3549,79403,5573,88492,4509,48406,4389
